Date,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Total Positive Cases,Total Negative Cases,Deaths,Under Investigation
2020-03-09,0,6,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,12,35.0,0,
2020-03-10,0,7,2,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,15,44.0,1,31.0
2020-03-11,0,11,2,1,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,1,0,23,57.0,1,37.0
2020-03-12,0,13,2,1,0,0,1,0,1,0,0,2,5,1,0,1,0,1,0,1,0,29,74.0,1,37.0
2020-03-13,0,17,3,1,0,0,6,0,3,0,0,4,7,3,1,3,0,1,0,1,0,50,97.0,1,
2020-03-14,0,25,3,2,0,0,7,0,5,0,1,10,8,3,1,2,0,1,0,1,0,69,97.0,1,
2020-03-15,0,29,4,2,0,0,11,0,11,0,1,12,12,4,2,5,0,1,0,4,0,98,120.0,2,
2020-03-16,0,61,5,3,0,0,20,0,19,1,6,17,14,6,3,8,0,5,0,8,0,178,120.0,2,2.0
2020-03-17,0,84,5,3,0,0,32,2,24,4,9,22,22,7,4,10,0,7,0,15,0,267,163.0,3,17.0
2020-03-18,3,114,10,8,0,0,45,2,34,6,15,40,32,19,8,18,0,16,0,26,0,427,190.0,5,31.0
2020-03-19,3,195,14,13,1,0,63,3,55,8,20,64,43,26,33,38,0,21,2,29,3,742,210.0,9,118.0
2020-03-20,3,249,17,11,1,1,73,3,66,11,22,76,53,35,49,49,0,28,3,43,3,890,264.0,11,98.0
2020-03-21,4,363,21,15,2,1,107,6,97,14,30,116,92,64,62,67,0,34,6,81,5,1327,294.0,16,140.0
2020-03-22,5,457,26,22,2,1,172,8,126,16,40,147,158,119,102,95,1,51,12,124,9,1914,327.0,20,211.0
2020-03-23,6,609,36,33,2,1,273,13,190,18,50,210,238,177,144,141,1,67,15,189,12,2844,359.0,27,419.0
